repo_name,repo_url,login,profile_url,location,country
flutter,https://github.com/flutter/flutter,koji-1009,https://github.com/koji-1009,Japan,Japan
PowerToys,https://github.com/microsoft/PowerToys,carlos-zamora,https://github.com/carlos-zamora,"Seattle, WA",United States
transformers,https://github.com/huggingface/transformers,enzoampil,https://github.com/enzoampil,Singapore,Singapore
ollama,https://github.com/ollama/ollama,nahakiole,https://github.com/nahakiole,Switzerland,Switzerland
bootstrap,https://github.com/twbs/bootstrap,cortopy,https://github.com/cortopy,London (UK),United Kingdom
PowerToys,https://github.com/microsoft/PowerToys,plante-msft,https://github.com/plante-msft,"New York, NY",United States
transformers,https://github.com/huggingface/transformers,spatil6,https://github.com/spatil6,India,India
ollama,https://github.com/ollama/ollama,rrg92,https://github.com/rrg92,"Brasilia, Brazil",Brazil
vscode,https://github.com/microsoft/vscode,smcenlly,https://github.com/smcenlly,"Gold Coast, Australia",Australia
react-native,https://github.com/facebook/react-native,rubennorte,https://github.com/rubennorte,London,United Kingdom
PowerToys,https://github.com/microsoft/PowerToys,craigloewen-msft,https://github.com/craigloewen-msft,Redmond Washington,United States
transformers,https://github.com/huggingface/transformers,alisafaya,https://github.com/alisafaya,"Istanbul, Turkey",Turkey
vscode,https://github.com/microsoft/vscode,rudi-c,https://github.com/rudi-c,NYC,United States
bootstrap,https://github.com/twbs/bootstrap,frolic,https://github.com/frolic,"London, UK",United Kingdom
transformers,https://github.com/huggingface/transformers,shijie-wu,https://github.com/shijie-wu,"Bethesda, MD","Moldova, Republic of"
ollama,https://github.com/ollama/ollama,rapmd73,https://github.com/rapmd73,United States,United States
vscode,https://github.com/microsoft/vscode,robertrossmann,https://github.com/robertrossmann,"Staříč, Czech Republic",Czechia
bootstrap,https://github.com/twbs/bootstrap,KevinJannis,https://github.com/KevinJannis,Belgium,Belgium
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Omegastick,https://github.com/Omegastick,"Birmingham, UK",United Kingdom
flutter,https://github.com/flutter/flutter,PurplePolyhedron,https://github.com/PurplePolyhedron,"Melbourne, Australia ",Australia
PowerToys,https://github.com/microsoft/PowerToys,hlaueriksson,https://github.com/hlaueriksson,"Stockholm, Sweden",Sweden
transformers,https://github.com/huggingface/transformers,IlyasMoutawwakil,https://github.com/IlyasMoutawwakil,"Paris, France",France
vscode,https://github.com/microsoft/vscode,manjrekarom,https://github.com/manjrekarom,India,India
bootstrap,https://github.com/twbs/bootstrap,Kovah,https://github.com/Kovah,"Berlin, Germany",Germany
react,https://github.com/facebook/react,petehunt,https://github.com/petehunt,"San Francisco, CA",Canada
