repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,reviews_submitted,stars_own_repos,stars_contrib_repos,contribution_period,activity_frequency,activity_regularidade,permission_level
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,TomasHubelbauer,https://github.com/TomasHubelbauer,"Prague, Czech Republic",Czechia,1,1,100.0,2.36,1,0,0,118,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,alrtas,https://github.com/alrtas,Brazil,Brazil,1,1,100.0,1191.01,1,0,0,2,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vamshi9,https://github.com/vamshi9,India,India,2,1,50.0,18.95,1,0,0,0,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vladsosnov,https://github.com/vladsosnov," Krakow, Poland",Poland,1,1,100.0,12685.56,1,0,0,19,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,nel,https://github.com/nel,"Paris, France",France,3,3,100.0,245.75,5,0,0,87,160.86,1,0.0136986301369863,0.0136986301369863,contributor
flutter,https://github.com/flutter/flutter,brianquinlan,https://github.com/brianquinlan,"Bay Area, California",United States,6,5,83.33,53.17,6,6,1,177,19.3,1,0.01643835616438356,0.01643835616438356,contributor
react-native,https://github.com/facebook/react-native,skevy,https://github.com/skevy,"San Francisco, CA",Canada,38,3,7.89,13.06,32,8,7,3144,396.69,3,0.08767123287671233,0.08767123287671233,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,SlyCreator,https://github.com/SlyCreator,"Lagos, Nigeria",Nigeria,1,1,100.0,1070.27,1,0,0,7,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
flutter,https://github.com/flutter/flutter,bc-lee,https://github.com/bc-lee,"Seoul, Korea","Korea, Republic of",10,5,50.0,553.1,8,22,1,11,19.3,1,0.021917808219178082,0.021917808219178082,contributor
flutter,https://github.com/flutter/flutter,maRci002,https://github.com/maRci002,Hungary,Hungary,3,3,100.0,2720.19,6,27,4,29,11.58,1,0.01643835616438356,0.01643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,YaninaTrekhleb,https://github.com/YaninaTrekhleb,"Bay Area, California",United States,2,1,50.0,0.14,1,0,0,405,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
transformers,https://github.com/huggingface/transformers,jadechoghari,https://github.com/jadechoghari,San Francisco,United States,12,7,58.33,632.88,7,0,8,254,60.58,1,0.019178082191780823,0.019178082191780823,contributor
go,https://github.com/golang/go,cldorian,https://github.com/cldorian,Maryland,United States,0,0,0.0,0.0,67,10,0,0,0.0,6,0.18356164383561643,0.18356164383561643,contributor
