login,repo_name,country,country_type,performance_score,pr_accept_rate,pr_accept_rate_norm,prs_opened,prs_opened_norm,commits_total,commits_total_norm,activity_frequency,activity_frequency_norm
zeux,three.js,United States,developed,0.015039896374668234,97.22,0.9722,36,0.004856333468231485,75,0.002464025231618372,0.2054794520547945,0.0024640252316183715
zerkms,excalidraw,New Zealand,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
fernandojsg,three.js,Spain,developed,0.017177965877633313,73.53,0.7353000000000001,68,0.009173074328881694,240,0.007884880741178789,0.6575342465753424,0.007884880741178789
janpeterd,excalidraw,Belgium,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
Minozzzi,excalidraw,Brazil,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
viglucci,excalidraw,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
gkjohnson,three.js,Japan,developed,0.03827002369225587,86.52,0.8652,356,0.048023742074733575,614,0.020172153229515738,1.6821917808219178,0.020172153229515738
aesrael,excalidraw,United Kingdom,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
yomotsu,three.js,Japan,developed,0.013141593167499821,84.62,0.8462000000000001,26,0.003507351949278295,76,0.0024968789013732834,0.2082191780821917,0.0024968789013732826
LukaHietala,excalidraw,Finland,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jrmi,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
sole,three.js,United Kingdom,developed,0.009796645396177316,66.67,0.6667000000000001,3,0.0004046944556859571,64,0.002102634864314344,0.1753424657534246,0.002102634864314343
JRJurman,excalidraw,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
marcofugaro,three.js,Italy,developed,0.016188419672721485,84.78,0.8478,92,0.012410629974369352,100,0.0032853669754911623,0.273972602739726,0.0032853669754911623
Itee,three.js,France,developed,0.012053370488354238,47.06,0.4706,51,0.006879805746661271,187,0.006143636244168474,0.5123287671232877,0.006143636244168474
elalish,three.js,New Zealand,developed,0.016346244904692477,93.33,0.9333,60,0.008093889113719142,113,0.0037124646823050137,0.3095890410958904,0.0037124646823050137
m1kc3b,three.js,France,developed,0.0007471131074279926,0.0,0.0,0,0.0,32,0.001051317432157172,0.0876712328767123,0.0010513174321571716
naotaro0123,three.js,Japan,developed,0.0009105440996778659,0.0,0.0,0,0.0,39,0.0012812931204415534,0.1068493150684931,0.0012812931204415528
NikitaIT,three.js,Poland,emerging,0.0005136402613567449,0.0,0.0,0,0.0,22,0.0007227807346080557,0.0602739726027397,0.0007227807346080554
philogb,three.js,United States,developed,0.00048568546102212035,0.0,0.0,3,0.0004046944556859571,16,0.000525658716078586,0.0438356164383561,0.0005256587160785852
erichlof,three.js,United States,developed,0.006426137934247548,44.44,0.44439999999999996,9,0.0012140833670578712,27,0.0008870490833826139,0.073972602739726,0.0008870490833826135
Kyle-Larson,three.js,United States,developed,0.01389138276277184,100.0,1.0,13,0.0017536759746391475,48,0.001576976148235758,0.1315068493150684,0.001576976148235757
cnspaha,three.js,Germany,developed,0.009099107939520065,60.0,0.6,25,0.0033724537973829757,34,0.0011170247716669952,0.0931506849315068,0.0011170247716669947
bartmcleod,three.js,Netherlands,developed,0.0023716006116973644,12.5,0.125,8,0.0010791852151625524,23,0.0007556344043629673,0.0630136986301369,0.0007556344043629662
DavidPeicho,three.js,France,developed,0.01263309753425076,93.33,0.9333,15,0.0020234722784297854,26,0.0008541954136277022,0.0712328767123287,0.0008541954136277014
taphos,three.js,Estonia,developed,0.009760024925536272,75.0,0.75,4,0.0005395926075812762,17,0.0005585123858334976,0.0465753424657534,0.0005585123858334974
epreston,three.js,Australia,developed,0.013746579617082642,90.91,0.9091,44,0.005935518683394037,40,0.0013141467901964649,0.1095890410958904,0.0013141467901964649
HypnosNova,three.js,中国,developed,0.006575588024533929,46.15,0.46149999999999997,13,0.0017536759746391475,18,0.0005913660555884093,0.0493150684931506,0.0005913660555884082
valette,three.js,France,developed,0.0054818551311627195,33.33,0.3333,24,0.003237555645487657,21,0.0006899270648531441,0.0575342465753424,0.0006899270648531434
CodyJasonBennett,three.js,United States,developed,0.012648810041983675,76.27,0.7626999999999999,59,0.007958990961823823,46,0.0015112688087259346,0.1260273972602739,0.001511268808725934
MagnuzBinder,three.js,Sweden,developed,0.012716940999490493,84.62,0.8462000000000001,39,0.005261027923917442,37,0.00121558578093173,0.1013698630136986,0.0012155857809317298
rfm1201,three.js,France,developed,0.009813846559836241,70.0,0.7,20,0.0026979630379063806,20,0.0006570733950982324,0.0547945205479452,0.0006570733950982324
leitzler,three.js,Sweden,developed,0.011159065099867997,80.0,0.8,20,0.0026979630379063806,25,0.0008213417438727906,0.0684931506849315,0.0008213417438727906
hybridherbst,three.js,Germany,developed,0.012910834092664816,80.0,0.8,55,0.0074193983542425465,44,0.0014455614692161114,0.1205479452054794,0.0014455614692161108
arose,three.js,Canada,developed,0.009812835455851815,72.73,0.7273000000000001,11,0.0014838796708485094,20,0.0006570733950982324,0.0547945205479452,0.0006570733950982324
linev,three.js,Germany,developed,0.00938689114786253,71.43,0.7143,7,0.0009442870632672333,15,0.0004928050463236743,0.0410958904109589,0.0004928050463236743
tentone,three.js,Portugal,developed,0.009972132923978432,61.29,0.6129,31,0.00418184270875489,55,0.0018069518365201394,0.1506849315068493,0.0018069518365201392
vincent,three.js,France,developed,0.008118109044727987,60.0,0.6,5,0.0006744907594765951,24,0.000788488074117879,0.0657534246575342,0.0007884880741178785
pailhead,three.js,United States,developed,0.003943044054856442,18.75,0.1875,32,0.004316740860650209,19,0.0006242197253433209,0.0520547945205479,0.0006242197253433203
cmhhelgeson,three.js,Canada,developed,0.013359569320520289,76.39,0.7639,72,0.00971266693646297,55,0.0018069518365201394,0.1506849315068493,0.0018069518365201392
mrxz,three.js,Netherlands,developed,0.012951911725570519,95.24,0.9523999999999999,21,0.0028328611898017,20,0.0006570733950982324,0.0547945205479452,0.0006570733950982324
mkeblx,three.js,United States,developed,0.012706390078157985,87.88,0.8787999999999999,33,0.004451639012545528,29,0.0009527564228924371,0.0794520547945205,0.0009527564228924365
repsac,three.js,Canada,developed,0.01301769010191823,90.91,0.9091,22,0.0029677593416970187,44,0.0014455614692161114,0.1205479452054794,0.0014455614692161108
jahting,three.js,Germany,developed,0.012652028231779262,93.75,0.9375,16,0.0021583704303251047,23,0.0007556344043629673,0.0630136986301369,0.0007556344043629662
gam0022,three.js,日本,developed,0.01278453564881235,100.0,1.0,4,0.0005395926075812762,15,0.0004928050463236743,0.0410958904109589,0.0004928050463236743
toji,three.js,Canada,developed,0.010928325888058397,77.78,0.7778,18,0.0024281667341157424,30,0.0009856100926473486,0.0821917808219178,0.0009856100926473486
ianpurvis,three.js,Gabon,developed,0.012000963331692304,87.5,0.875,16,0.0021583704303251047,28,0.0009199027531375254,0.0767123287671232,0.0009199027531375244
m4jing,three.js,China,emerging,0.013625347600638466,100.0,1.0,19,0.0025630648860110617,27,0.0008870490833826139,0.073972602739726,0.0008870490833826135
manthrax,three.js,United States,developed,0.011676615382831228,88.89,0.8889,9,0.0012140833670578712,18,0.0005913660555884093,0.0493150684931506,0.0005913660555884082
AngyDev,three.js,United Kingdom,developed,0.013438569323781468,100.0,1.0,19,0.0025630648860110617,19,0.0006242197253433209,0.0520547945205479,0.0006242197253433203
brianchirls,three.js,United States,developed,0.012083567749450026,91.67,0.9167000000000001,12,0.0016187778227438284,16,0.000525658716078586,0.0438356164383561,0.0005256587160785852
Mcgode,three.js,France,developed,0.010598420563327377,80.0,0.8,5,0.0006744907594765951,25,0.0008213417438727906,0.0684931506849315,0.0008213417438727906
stephomi,three.js,France,developed,0.010904797703080378,83.33,0.8332999999999999,6,0.0008093889113719142,19,0.0006242197253433209,0.0520547945205479,0.0006242197253433203
benaadams,three.js,United Kingdom,developed,0.00993882943891069,55.77,0.5577000000000001,52,0.00701470389855659,49,0.0016098298179906695,0.1342465753424657,0.001609829817990669
insominx,three.js,United States,developed,0.009603514527725699,70.0,0.7,10,0.0013489815189531903,27,0.0008870490833826139,0.073972602739726,0.0008870490833826135
