repo_name,repo_id,repo_url,login,profile_url,location,country
Font-Awesome,3470471,https://github.com/FortAwesome/Font-Awesome,robmadole,https://github.com/robmadole,"Oronogo, Missouri",United States
elasticsearch,507775,https://github.com/elastic/elasticsearch,breskeby,https://github.com/breskeby,Berlin,Germany
json-server,14747598,https://github.com/typicode/json-server,GSchutz,https://github.com/GSchutz,Florianópolis,Brazil
fzf,13807606,https://github.com/junegunn/fzf,kelleyma49,https://github.com/kelleyma49,"Kirkland, WA",United States
union,641656392,https://github.com/unionlabs/union,loveneeshdhir,https://github.com/loveneeshdhir,New Delhi,India
code-server,172953845,https://github.com/coder/code-server,ammario,https://github.com/ammario,"Austin, TX",United States
Best-websites-a-programmer-should-visit,83999700,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,shovanch,https://github.com/shovanch,"Kolkata, India",India
Deep-Live-Cam,695864515,https://github.com/hacksider/Deep-Live-Cam,barongello,https://github.com/barongello,Brazil,Brazil
awesome-llm-apps,793375104,https://github.com/Shubhamsaboo/awesome-llm-apps,Jeomon,https://github.com/Jeomon,"Kerala, Kochi 🌴",India
awesome-mcp-servers,896335270,https://github.com/punkpeye/awesome-mcp-servers,korotovsky,https://github.com/korotovsky,"Berlin, Germany",Germany
d2l-zh,101138315,https://github.com/d2l-ai/d2l-zh,yuweiw823,https://github.com/yuweiw823,Seattle,United States
awesome-vue,44571718,https://github.com/vuejs/awesome-vue,LinusBorg,https://github.com/LinusBorg,"Mannheim, Germany",Germany
nest,80945428,https://github.com/nestjs/nest,SeWaS,https://github.com/SeWaS,"Munich, Germany",Germany
browser-use,881458615,https://github.com/browser-use/browser-use,chrisschnabl,https://github.com/chrisschnabl,"Cambridge, UK",United States
stable-diffusion,523379232,https://github.com/CompVis/stable-diffusion,cpacker,https://github.com/cpacker,"San Francisco, CA",United States
Ventoy,246335987,https://github.com/ventoy/Ventoy,dylanmtaylor,https://github.com/dylanmtaylor,"Durham, North Carolina, USA",United States
Front-End-Checklist,107111421,https://github.com/thedaviddias/Front-End-Checklist,paulofreitas,https://github.com/paulofreitas,Brazil,Brazil
servers,890668799,https://github.com/modelcontextprotocol/servers,slimslenderslacks,https://github.com/slimslenderslacks,"San Francisco, CA",United States
redis,156018,https://github.com/redis/redis,michael-grunder,https://github.com/michael-grunder,"Seattle, WA",United States
uv,699532645,https://github.com/astral-sh/uv,flyaroundme,https://github.com/flyaroundme,España,Brazil
PayloadsAllTheThings,71220757,https://github.com/swisskyrepo/PayloadsAllTheThings,mcgyver5,https://github.com/mcgyver5,USA,United States
screenshot-to-code,718741813,https://github.com/abi/screenshot-to-code,kachbit,https://github.com/kachbit,Mars,Brazil
moby,7691631,https://github.com/moby/moby,ankushagarwal,https://github.com/ankushagarwal,San Francisco,United States
flask,596892,https://github.com/pallets/flask,vtbassmatt,https://github.com/vtbassmatt,"North Carolina, United States",United States
tesseract,22887094,https://github.com/tesseract-ocr/tesseract,stweil,https://github.com/stweil,"Mannheim, Germany",Germany
grafana,15111821,https://github.com/grafana/grafana,idafurjes,https://github.com/idafurjes,"Berlin, Germany",Germany
awesome-react,22670857,https://github.com/enaqx/awesome-react,niklabh,https://github.com/niklabh,Berlin,Germany
awesome-machine-learning,21872392,https://github.com/josephmisiti/awesome-machine-learning,shaswatsingh19,https://github.com/shaswatsingh19,"Ahmedabad, Gujarat, India",India
strapi,43441403,https://github.com/strapi/strapi,gu-stav,https://github.com/gu-stav,Germany / Berlin,Germany
cs-video-courses,71583602,https://github.com/Developer-Y/cs-video-courses,gusnaughton,https://github.com/gusnaughton,"Seattle, WA",United States
awesome-public-datasets,26898879,https://github.com/awesomedata/awesome-public-datasets,usuallycwdillon,https://github.com/usuallycwdillon,"VA, USA",United States
sherlock,162998479,https://github.com/sherlock-project/sherlock,joeyagreco,https://github.com/joeyagreco,United States,United States
reveal.js,1861458,https://github.com/hakimel/reveal.js,sean-parent,https://github.com/sean-parent,"San Jose, CA",United States
localsend,578822531,https://github.com/localsend/localsend,Q1CHENL,https://github.com/Q1CHENL,Munich,Germany
cpython,81598961,https://github.com/python/cpython,eliben,https://github.com/eliben,California,United States
protobuf,23357588,https://github.com/protocolbuffers/protobuf,bshaffer,https://github.com/bshaffer,San Francisco,United States
gpt_academic,616372661,https://github.com/binary-husky/gpt_academic,Undertone0809,https://github.com/Undertone0809,Mars,Brazil
Stirling-PDF,594155488,https://github.com/Stirling-Tools/Stirling-PDF,bluestero,https://github.com/bluestero,Maharashtra,India
swift,44838949,https://github.com/swiftlang/swift,davezarzycki,https://github.com/davezarzycki,"Ithaca, New York",United States
imgui,22067521,https://github.com/ocornut/imgui,bkaradzic,https://github.com/bkaradzic,"Los Angeles, CA",United States
openai-cookbook,468576060,https://github.com/openai/openai-cookbook,simonpfish,https://github.com/simonpfish,"San Francisco, CA",United States
zed,340547520,https://github.com/zed-industries/zed,rgbkrk,https://github.com/rgbkrk,"Santa Cruz, CA",United States
superset,39464018,https://github.com/apache/superset,DiggidyDave,https://github.com/DiggidyDave,"Seattle, WA",United States
node,596115135,https://github.com/base/node,0x00101010,https://github.com/0x00101010,"Sunnyvale, CA",United States
cs-self-learning,419347358,https://github.com/PKUFlyingPig/cs-self-learning,haidong,https://github.com/haidong,Chicago,United States
express,237159,https://github.com/expressjs/express,jakeg,https://github.com/jakeg,"Cambridge, UK",United States
obs-studio,13233158,https://github.com/obsproject/obs-studio,tuduweb,https://github.com/tuduweb,CSC,Brazil
the-algorithm,619859161,https://github.com/twitter/the-algorithm,dzhao,https://github.com/dzhao,San Francisco,United States
caddy,29207621,https://github.com/caddyserver/caddy,ueffel,https://github.com/ueffel,Germany,Germany
awesome-cpp,21935031,https://github.com/fffaraz/awesome-cpp,ipapadop,https://github.com/ipapadop,"Boston, USA",United States
lobe-chat,643445235,https://github.com/lobehub/lobe-chat,mamachanko,https://github.com/mamachanko,"Berlin, Germany",Germany
tabby,77213120,https://github.com/Eugeny/tabby,microhobby,https://github.com/microhobby,Brazil,Brazil
ansible,3638964,https://github.com/ansible/ansible,trishnaguha,https://github.com/trishnaguha,"17.4169° N, 78.3424° E",India
lazygit,134017286,https://github.com/jesseduffield/lazygit,rverst,https://github.com/rverst,Germany,Germany
ragflow,730534580,https://github.com/infiniflow/ragflow,cecilia-uu,https://github.com/cecilia-uu,Seattle,United States
Chart.js,8843683,https://github.com/chartjs/Chart.js,bengesoff,https://github.com/bengesoff,"Dubai, UAE",Brazil
act,163883279,https://github.com/nektos/act,Code0x58,https://github.com/Code0x58,"Guildford, UK",United States
SecLists,3482588,https://github.com/danielmiessler/SecLists,jhaddix,https://github.com/jhaddix,United States,United States
awesome-scalability,115478820,https://github.com/binhnguyennus/awesome-scalability,techyrajeev,https://github.com/techyrajeev,India,India
